year,yield_per_hectare
1980,0.301445
1981,0.340037
1982,0.367175
1983,0.54872
1984,0.595212
1985,0.472196
1986,0.510779
1987,0.580341
1988,0.623711
1989,0.494932
1990,0.689288
1991,0.614052
1992,0.593823
1993,0.659441
1994,0.685396
1995,0.630732
1996,0.706646
1997,0.513528
1998,0.794904
1999,0.712521
2000,0.452009
2001,0.509069
2002,0.597015
2003,0.614837
2004,0.62382
2005,0.648861
2006,0.707155
2007,0.616898
2008,0.712747
2009,0.59556
2010,0.620436
2011,0.716346
2012,0.768207
2013,0.782768
2014,0.739463
2015,0.73835
2016,0.774706
2017,0.780685
2018,0.66168
2019,0.721702
2020,0.693556
